gen	evals	std          	min  	avg   	max   
0  	50   	[23.68206072]	[16.]	[29.4]	[118.]
1  	50   	[28.06281525]	[16.]	[41.72]	[118.]
2  	50   	[57.24730911]	[18.]	[63.84]	[320.]
3  	50   	[68.20791743]	[16.]	[88.8] 	[320.]
4  	50   	[90.13434418]	[16.]	[98.2] 	[452.]
5  	50   	[101.66124925]	[16.]	[120.52]	[452.]
6  	50   	[136.37139876]	[18.]	[171.04]	[452.]
7  	50   	[156.18975639]	[16.]	[192.2] 	[452.]
8  	50   	[168.37636414]	[16.]	[198.2] 	[598.]
9  	50   	[212.96407584]	[16.]	[193.32]	[1000.]
10 	50   	[241.6040695] 	[18.]	[212.44]	[1000.]
11 	50   	[292.26461709]	[18.]	[228.44]	[1000.]
12 	50   	[322.62593572]	[20.]	[366.16]	[1000.]
13 	50   	[393.10032511]	[18.]	[349.12]	[1000.]
14 	50   	[440.31876453]	[18.]	[397.84]	[1000.]
15 	50   	[430.49615283]	[16.]	[359.68]	[1000.]
16 	50   	[435.92011011]	[16.]	[402.24]	[1000.]
Environment solved in 16 generations!
Environment solved in 359.1362 seconds
